author_id,author,author_firstname,author_lastname,created_datetime
1,Lewis Carroll,Lewis,Carroll,2024-09-16 18:25:46.750918
2,Robert Louis Stevenson,Robert Louis,Stevenson,2024-09-16 18:25:46.750918
3,Jonathan Swift,Jonathan,Swift,2024-09-16 18:25:46.750918
4,Niccolò Machiavelli,Niccolò,Machiavelli,2024-09-16 18:25:46.750918
5,W Grüzmacher,W,Grüzmacher,2024-09-16 18:25:46.750918
6,George Bull,George,Bull,2024-09-16 18:25:46.750918
7,Jon Lee Anderson,Jon Lee,Anderson,2024-09-16 18:25:46.750918
8,Eko,,Eko,2024-09-16 18:25:46.750918
9,Ninian Hill Thomson,Ninian Hill,Thomson,2024-09-16 18:25:46.750918
10,Yovelina Del Jesus,Yovelina Del,Jesus,2024-09-16 18:25:46.750918
11,Angelo M Codevilla,Angelo M,Codevilla,2024-09-16 18:25:46.750918
12,L Frank Baum,L Frank,Baum,2024-09-16 18:25:46.750918
13,Arthur Conan Doyle,Arthur Conan,Doyle,2024-09-16 18:25:46.750918
14,William Shakespeare,William,Shakespeare,2024-09-16 18:25:46.750918
15,Edith Nesbit,Edith,Nesbit,2024-09-16 18:25:46.750918
16,JRR Tolkien,JRR,Tolkien,2024-09-16 18:25:46.750918
17,George Orwell,George,Orwell,2024-09-16 18:25:46.750918
